source	predicate	object	count
DRUGBANK:DB01611	in_clinical_trial_for	MONDO:0100096	100
DRUGBANK:DB00207	in_clinical_trial_for	MONDO:0100096	36
DRUGBANK:DB00503	in_clinical_trial_for	MONDO:0100096	24
DRUGBANK:DB01601	in_clinical_trial_for	MONDO:0100096	21
DRUGBANK:DB00608	in_clinical_trial_for	MONDO:0100096	19
DRUGBANK:DB06273	in_clinical_trial_for	MONDO:0100096	18
DRUGBANK:DB12466	in_clinical_trial_for	MONDO:0100096	11
DRUGBANK:DB08877	in_clinical_trial_for	MONDO:0100096	11
DRUGBANK:DB14761	in_clinical_trial_for	MONDO:0100096	8
DRUGBANK:DB00507	in_clinical_trial_for	MONDO:0100096	8
DRUGBANK:DB11842	in_clinical_trial_for	MONDO:0100096	7
DRUGBANK:DB00026	in_clinical_trial_for	MONDO:0100096	7
DRUGBANK:DB00602	in_clinical_trial_for	MONDO:0100096	7
DRUGBANK:DB00126	in_clinical_trial_for	MONDO:0100096	7
DRUGBANK:DB00959	in_clinical_trial_for	MONDO:0100096	6
DRUGBANK:DB01394	in_clinical_trial_for	MONDO:0100096	6
DRUGBANK:DB01225	in_clinical_trial_for	MONDO:0100096	6
DRUGBANK:DB11817	in_clinical_trial_for	MONDO:0100096	6
DRUGBANK:DB11767	in_clinical_trial_for	MONDO:0100096	5
DRUGBANK:DB12849	in_clinical_trial_for	MONDO:0100096	5
DRUGBANK:DB01109	in_clinical_trial_for	MONDO:0100096	5
DRUGBANK:DB12768	in_clinical_trial_for	MONDO:0100096	5
DRUGBANK:DB00678	in_clinical_trial_for	MONDO:0100096	4
DRUGBANK:DB13609	in_clinical_trial_for	MONDO:0100096	4
DRUGBANK:DB00198	in_clinical_trial_for	MONDO:0100096	4
DRUGBANK:DB09153	in_clinical_trial_for	MONDO:0100096	4
DRUGBANK:DB01234	in_clinical_trial_for	MONDO:0100096	4
DRUGBANK:DB00060	in_clinical_trial_for	MONDO:0100096	3
DRUGBANK:DB06168	in_clinical_trial_for	MONDO:0100096	3
DRUGBANK:DB06151	in_clinical_trial_for	MONDO:0100096	3
DRUGBANK:DB01373	in_clinical_trial_for	MONDO:0100096	3
DRUGBANK:DB00982	in_clinical_trial_for	MONDO:0100096	3
DRUGBANK:DB00435	in_clinical_trial_for	MONDO:0100096	3
DRUGBANK:DB00945	in_clinical_trial_for	MONDO:0100096	3
DRUGBANK:DB06812	in_clinical_trial_for	MONDO:0100096	3
DRUGBANK:DB01197	in_clinical_trial_for	MONDO:0100096	3
DRUGBANK:DB15313	in_clinical_trial_for	MONDO:0100096	3
DRUGBANK:DB01410	in_clinical_trial_for	MONDO:0100096	3
DRUGBANK:DB13729	in_clinical_trial_for	MONDO:0100096	3
DRUGBANK:DB00741	in_clinical_trial_for	MONDO:0100096	3
DRUGBANK:DB00966	in_clinical_trial_for	MONDO:0100096	3
DRUGBANK:DB01041	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB00178	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB00028	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB00068	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB09019	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB15655	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB05941	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB00619	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB00584	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB09036	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB00302	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB01257	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB13919	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB06228	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB00177	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB14767	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB01222	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB00661	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB00736	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB00877	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB00343	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB06803	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB00254	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB00003	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB00635	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB00477	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB00746	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB09241	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB01076	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB11703	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB00848	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB02285	in_clinical_trial_for	MONDO:0100096	2
DRUGBANK:DB15623	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00203	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB08868	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB14066	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00062	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB15654	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00112	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB11779	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00020	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00788	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00876	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB01029	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00275	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00519	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00722	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00881	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00542	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00790	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00492	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00310	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00999	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00436	in_clinical_trial_for	MONDO:0100096	1
DRUGBANK:DB00808	in_clinical_trial_for	MONDO:0100096	1
